rule_a,rule_b,class_pair,label,period,shift,residual,residual_unshifted,mean_hamming,std_hamming,mean_hamming_after_burn_in,domination,dominant_rule,rule_share_a,rule_share_b,settle,settled_at,late_label,late_period,domination_occupancy,decisive_frac,decisive_share_a,settle_raw,arm_flip_rate,freeze_gen,ta_confidence,arm_walls_initial,arm_walls_final,same_arm_as_initial,occupancy_check,plot_path,lag_plot_path,metrics_path
168,1,I_x_II,cycle,4,0,2.1210230918211945e-16,0.0,0.46178109452736316,0.01198672152977412,0.4626865671641791,coexist,,0.5174129353233831,0.48258706467661694,early,50,cycle,4,coexist,0.6592039800995025,0.4830188679245283,early,0.0,26,0.9683526810392483,104,86,0.9552238805970149,0.0,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule1/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule1/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule1/metrics.json
168,2,I_x_II,fixed,1,0,0.0,0.0,0.0020696517412935322,0.02484124191378747,0.0,neutral,,0.5422885572139303,0.4577114427860697,early,50,fixed,1,coexist,0.0,,early,0.0,2,1.0,104,104,1.0,0.0,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule2/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule2/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule2/metrics.json
168,3,I_x_II,cycle,2,0,0.0,0.0,0.4628457711442788,0.004779683578907431,0.4626865671641792,coexist,,0.5373134328358209,0.4626865671641791,early,50,cycle,2,coexist,0.7611940298507462,0.5490196078431373,early,0.0,6,0.9549474847982311,104,96,0.9751243781094527,0.0,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule3/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule3/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule3/metrics.json
168,4,I_x_II,fixed,1,0,0.0,0.0,0.001253731343283582,0.01779989095241523,0.0,neutral,,0.572139303482587,0.42786069651741293,early,50,fixed,1,coexist,0.0,,early,0.0,9,1.0,104,108,0.9701492537313433,0.0,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule4/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule4/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule4/metrics.json
168,5,I_x_II,cycle,4,0,7.070076972737315e-17,0.0,0.2123681592039801,0.014875042834700503,0.21144278606965172,coexist,,0.746268656716418,0.2537313432835821,early,100,cycle,4,coexist,0.832089552238806,0.7847533632286996,early,0.0,60,0.9537037037037037,104,80,0.7960199004975125,0.0,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule5/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule5/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule5/metrics.json
168,6,I_x_II,fixed,1,0,0.0,0.0,0.0021691542288557212,0.022767325928235993,0.0,neutral,,0.6019900497512438,0.39800995024875624,early,50,fixed,1,coexist,0.0,,early,0.0,15,1.0,104,100,0.9402985074626866,0.0,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule6/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule6/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule6/metrics.json
168,7,I_x_II,cycle,24,0,0.0,0.0,0.35911442786069653,0.011949494800181091,0.3586194029850746,coexist,,0.5970149253731343,0.40298507462686567,early,50,cycle,24,coexist,0.8259203980099502,0.6214685862297452,early,0.0,18,0.9508291873963516,104,86,0.9253731343283582,0.0,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule7/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule7/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule7/metrics.json
168,9,I_x_II,cycle,120,0,7.070076972737315e-17,0.0,0.3611044776119403,0.016169748171257433,0.36109452736318404,coexist,,0.5024875621890548,0.4975124378109453,tail_only,334,near_cycle,8,coexist,0.5197512437810945,0.6297501675122045,late,0.0,32,0.9584466556108346,104,84,0.9402985074626866,0.0,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule9/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule9/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule9/metrics.json
168,10,I_x_II,fixed,1,0,0.0,0.0,0.0020497512437810945,0.02324094407821021,0.0,neutral,,0.5373134328358209,0.4626865671641791,early,50,fixed,1,coexist,0.0,,early,0.0,2,1.0,104,106,0.9950248756218906,0.0,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule10/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule10/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule10/metrics.json
168,11,I_x_II,cycle,18,0,2.828030789094926e-16,0.0,0.37536318407960195,0.014363638158075084,0.3748134328358209,coexist,,0.4928358208955224,0.5071641791044776,early,50,cycle,18,coexist,0.6071144278606965,0.6772105220027862,early,0.0005472636815920398,500,0.9515146489773356,104,82,0.9253731343283582,0.0,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule11/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule11/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_majority/I_x_II/rule168_vs_rule11/metrics.json
