rule_a,rule_b,class_pair,label,period,shift,residual,residual_unshifted,mean_hamming,std_hamming,mean_hamming_after_burn_in,domination,dominant_rule,rule_share_a,rule_share_b,settle,settled_at,late_label,late_period,plot_path,lag_plot_path,metrics_path
40,28,I_x_II,cycle,24,0,0.0,0.0,0.16817910447761195,0.021666414767400895,0.1686691542288557,coexist,,0.4228855721393035,0.5771144278606966,early,50,cycle,24,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule28/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule28/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule28/metrics.json
40,29,I_x_II,cycle,8,0,7.070076972737315e-17,0.0,0.3454427860696517,0.012208476759186002,0.34452736318407956,coexist,,0.2238308457711443,0.7761691542288557,early,50,cycle,8,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule29/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule29/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule29/metrics.json
40,33,I_x_II,near_cycle,12,0,0.15669723362621343,0.1566972336262134,0.49154228855721394,0.030101763822788518,0.49024875621890546,coexist,,0.4843781094527363,0.5156218905472637,late,334,near_cycle,12,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule33/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule33/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule33/metrics.json
40,34,I_x_II,fixed,1,0,0.0,0.0,0.0031641791044776124,0.03359425023969279,0.0,coexist,,0.5,0.5,early,50,fixed,1,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule34/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule34/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule34/metrics.json
40,35,I_x_II,near_cycle,4,0,0.012757371831021198,0.012757371831021217,0.5356318407960199,0.028426972578537806,0.5299626865671643,coexist,,0.5287562189054726,0.47124378109452736,late,150,cycle,8,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule35/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule35/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule35/metrics.json
40,36,I_x_II,fixed,1,0,7.070076972737315e-17,0.0,0.0017313432835820897,0.02571080355935673,0.0,coexist,,0.4900497512437811,0.5099502487562189,early,50,fixed,1,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule36/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule36/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule36/metrics.json
40,37,I_x_II,near_cycle,40,0,0.20979589586692576,0.20979589586692576,0.40597014925373137,0.03447154505716638,0.40356965174129356,coexist,,0.40577114427860694,0.5942288557213931,late,334,near_cycle,40,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule37/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule37/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule37/metrics.json
40,38,I_x_II,near_cycle,1,1,0.019950248756219143,0.03975124378109453,0.04170149253731343,0.027414730282269654,0.039751243781094535,coexist,,0.49676616915422883,0.5032338308457711,late,150,near_cycle,1,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule38/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule38/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule38/metrics.json
40,42,I_x_II,fixed,1,0,0.0,0.0,0.004915422885572139,0.03582637326829039,0.0,coexist,,0.5,0.5,early,50,fixed,1,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule42/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule42/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule42/metrics.json
40,43,I_x_II,near_cycle,4,0,0.0003884857826740776,0.0003884857826735341,0.5247860696517412,0.020851455547171802,0.519950248756219,coexist,,0.5211442786069652,0.47885572139303484,late,150,cycle,4,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule43/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule43/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule43/metrics.json
